pid,position              
,
1,AM RLC
2,AM
2,F C
3,AM RL
3,ST
4,GK
5,AM RLC
6,AM
6,F C
7,AM LC
8,AM C
9,D C
10,GK
11,AM RLC
11,F C
12,AM RL
12,ST
13,AM RL
13,ST
14,ST
15,AM RC
16,D LC
17,DM
18,DM
19,GK
20,AM RLC
20,F C
21,AM RL
22,AM RL
23,D RC
24,DM
24,AM C
25,D C
26,AM RLC
27,GK
28,AM RL
28,ST
29,D C
30,DM
31,AM RL
31,ST
32,AM RLC
32,F C
33,AM RL
33,ST
34,D R
34,DM
35,DM
36,D C
37,AM L
37,ST
38,WB RL
38,AM RLC
39,AM RLC
40,GK
41,AM RLC
42,DM
43,AM R
43,ST
44,AM RLC
45,ST
46,AM RLC
47,GK
48,AM C
49,GK
50,AM RL
50,ST
51,DM
51,AM C
52,D/WB R
53,ST
54,D C
54,DM
55,ST
56,AM RLC
57,AM RC
58,D L
58,WB L
59,D C
60,D R
60,WB R
61,D C
61,DM
62,D C
63,AM RLC
64,AM L
64,ST
65,D RC
66,D RC
67,D L
67,WB L
68,ST
69,GK
70,D R
70,M RC
71,D RLC
72,D C
72,DM
73,D C
74,AM RL
75,D L
75,WB L
76,AM RL
77,DM
78,DM
79,AM C
80,DM
81,GK
82,DM
82,AM C
83,D R
83,AM R
84,AM RLC
85,D C
86,DM
87,D C
88,GK
89,GK
90,AM RL
90,ST
91,DM
92,D LC
93,AM RL
93,ST
94,D L
94,M L
95,AM LC
96,DM
97,D RLC
98,D L
98,M L
99,AM RLC
100,AM RLC
101,D L
101,WB L
102,D RC
103,AM LC
104,AM LC
104,F C
105,D C
106,D R
106,WB R
107,DM
108,GK
109,D C
110,DM
111,DM
112,AM C
113,D C
114,D L
114,WB L
115,GK
116,AM C
117,AM LC
118,D LC
118,DM
119,D L
119,WB L
120,AM C
121,DM
122,AM RLC
123,D C
123,DM
124,AM C
125,D RC
126,D C
127,ST
128,D R
128,WB R
129,AM RLC
129,F C
130,DM
131,AM C
132,AM RLC
133,D C
134,D RC
135,D C
135,DM
136,D C
137,AM RLC
138,AM RL
139,D C
140,D C
141,DM
142,D RL
142,WB RL
143,DM
144,ST
145,D C
146,AM LC
147,DM
148,AM L
148,ST
149,AM RL
150,DM
151,D C
152,AM C
153,D C
154,AM RC
155,D C
156,D C
157,AM RC
158,ST
159,AM RL
160,AM RL
161,AM RC
162,DM
163,AM RLC
164,GK
165,DM
165,AM C
166,ST
167,D R
167,M R
168,D C
168,DM
169,D C
170,GK
171,D C
171,DM
172,GK
173,AM C
174,ST
175,AM RL
176,D C
177,ST
178,AM R
178,ST
179,DM
179,AM C
180,ST
181,D C
182,DM
183,AM LC
183,F C
184,ST
185,D C
186,D R
186,AM R
187,D R
187,WB R
188,AM RL
188,ST
189,ST
190,GK
191,ST
192,DM
193,D R
193,AM RL
194,DM
195,DM
196,AM RC
197,D R
197,WB R
198,ST
199,D C
200,D RL
200,DM
201,D L
201,AM L
202,DM
203,D LC
204,AM RL
205,D C
205,DM
206,D LC
207,D C
208,D C
209,D C
210,AM L
210,ST
211,D C
211,DM
212,GK
213,D L
213,WB L
214,D L
214,WB L
215,D L
216,D R
216,WB R
217,AM RL
218,D C
219,D RL
220,M C
221,AM RLC
222,D L
222,AM L
223,ST
224,D C
225,DM
226,D R
226,WB R
227,D C
227,DM
228,AM C
229,GK
230,DM
230,AM C
231,D RC
232,AM RLC
233,D L
233,WB L
234,D L
234,WB L
235,AM RL
235,ST
236,AM
236,F C
237,AM C
238,ST
239,WB L
239,AM RL
